No,ccodeiso,ccodecow,Country,Region,RegdumAfr,RegdumAsia,RegdumLat,Year,Yearsq,Wave,Interrupt,NumElect,PEI35,FRAC2015,PEI45,FRAC2016,PEI55,FRAC2017,PEI65,FRAC2018,PEI70,FRAC2019,Rulelaw,Fract,ContCorr,CPI,GINI,Press,Urban,Fuel,Trade,Wealth,Population,Colony,BritCol,Location,Elect,Govt,CivWar
1,ALB,339,Albania,Europe,0,0,0,1991,3964081,4th Wave,No Coup,9,54.490002,.64542651,54.490002,.64542651,54.669998,.64542651,53.990002,.64542651,53.8312683105469,.64542651,-.5918365842417667,.2204,.68726391,64,29,70.160004,58,.50873041,77.250572,9.4673109,14.868559,No,No,.45555601,Proportional,Parliamentary,No
2,AGO,540,Angola,Africa,1,0,0,1992,3968064,4th Wave,No Coup,4,35.029999,.34615609,35.060001,.34615609,35.93,.34615609,38.810001,.34615609,38.7700958251953,.34615609,-1.357894736842105,.7867,1.3340967,81,42.700001,65.040001,64,4.553822,52.256821,8.7704353,17.243341,Yes,No,.136667,Proportional,Presidential,Yes
3,ARG,160,Argentina,Latin America,0,0,1,1983,3932289,3rd Wave,No Coup,18,65.650002,.78919882,64.129997,.82140338,64.650002,.82140338,64.830002,.82140338,64.6916427612305,.82140338,-.5432148861551755,.255,.36632079,60,40.599998,71.699997,92,1.4553779,30.76602,9.9314575,17.610876,Yes,No,.37777799,Proportional,Presidential,No
4,ARM,371,Armenia,Asia,0,1,0,1995,3980025,3rd Wave,No Coup,7,43.459999,.63354212,43.630001,.63354212,47.389999,.63354212,47.279999,.63354212,54.6990661621094,.63354212,-.3917043848257316,.1272,.63677782,65,33.599998,71.019997,63,1.3968871,90.403069,9.2423172,14.897918,No,No,.44641301,Majoritarian,Presidential,No
5,AZE,373,Azerbaijan,Asia,0,1,0,1995,3980025,3rd Wave,Coup,5,41.639999,.688164,34.900002,.67676759,35.18,.67676759,36.110001,.67676759,36.3034515380859,.67676759,-.8497832072408575,.2047,1.1146801,75,26.6,40.869999,55,4.5241337,92.011246,9.798811,16.112312,No,No,.44898999,Majoritarian,Presidential,No
6,BGD,771,Bangladesh,Asia,0,1,0,1979,3916441,4th Wave,No Coup,9,38.5,.3862789,38.560001,.3862789,38.529999,.3862789,38.360001,.3862789,38.3354606628418,.3862789,-.8498739725665042,.0454,1.0706595,74,32.400002,49.259998,35,-.57700139,38.244892,8.381155,18.899124,Yes,Yes,.26666701,Majoritarian,Parliamentary,Yes
7,BLR,370,Belarus,Europe,0,0,0,1995,3980025,3rd Wave,No Coup,7,32.330002,.99949032,36.130001,.99949032,39.470001,.99949032,39.759998,.99949032,39.5662689208984,.99949032,-1.038241715807664,.3222,.5318532,56,25.4,48.34,78,3.2029879,139.34348,9.9014626,16.065264,No,No,.59888798,Proportional,Presidential,No
8,BEN,434,Benin,Africa,1,0,0,1991,3964081,4th Wave,No Coup,8,68.160004,.62944472,69.489998,.79529083,69.839996,.79529083,69.910004,.79529083,69.6296463012695,.79529083,-.4582823556112616,.7872,.60037428,60,47.799999,68.260002,46,.94725168,79.574265,7.7917209,16.256557,Yes,No,.103333,Proportional,Presidential,No
9,BOL,145,Bolivia,Latin America,0,0,1,1979,3916441,3rd Wave,No Coup,11,55.560001,.4789505,55.48,.4789505,55.599998,.4789505,55.599998,.4789505,55.7583503723145,.4789505,-.8207496686985618,.7396,.62756193,71,44,64.620003,69,3.6951966,57.109966,8.969451,16.245005,Yes,No,.188889,Majoritarian,Presidential,No
10,BIH,346,Bosnia & Herzegovina,Europe,0,0,0,1996,3984016,4th Wave,No Coup,8,52.16,.7955665,52.459999,.7955665,51.98,.7955665,52.349998,.7955665,46.211555480957,.7955665,-.3935279516797316,.63,.35734785,62,33,70.980003,48,2.1009746,98.219711,9.5277052,15.016658,No,No,.48722199,Majoritarian,Parliamentary,No
11,BRA,140,Brazil,Latin America,0,0,1,1978,3912484,3rd Wave,No Coup,11,67.599998,.92954582,67.470001,.92954582,68.050003,.93047339,67.720001,.93047339,63.7254943847656,.93047339,-.2047495945895973,.5407999999999999,.086916395,65,53.299999,67.209999,86,2.1634212,29.082058,9.6845865,19.160088,Yes,No,.111111,Proportional,Presidential,No
12,BGR,355,Bulgaria,Europe,0,0,0,1991,3964081,3rd Wave,No Coup,9,56.310001,.80721748,56.25,.80721748,57.52,.80721748,57.639999,.80721748,57.5666656494141,.80721748,-.103139161279327,.4021,.16568469,58,37.400002,64.889999,74,2.105191,128.1416,9.9498034,15.764874,No,No,.47777799,Proportional,Presidential,No
13,KHM,811,Cambodia,Asia,0,1,0,1993,3972049,4th Wave,No Coup,6,31.809999,.4984673,31.9,.4984673,31.84,.4984673,31.799999,.4984673,30.4693870544434,.4984673,-1.114022807071083,.2105,1.1385889,80,14,54.099998,23,-4.8459969,124.89861,8.3788671,16.603592,Yes,No,.144444,Majoritarian,Parliamentary,No
14,CPV,402,Cape Verde,Africa,1,0,0,1991,3964081,4th Wave,No Coup,6,,.52540541,,.52540541,70.870003,.53482002,70.919998,.53482002,70.97629547119141,.53482002,.5512498146609256,.4174,-.79023808,57,47.200001,80.190002,65,-7.4364395,116.58913,8.9219532,13.206276,Yes,No,.17777801,Proportional,Presidential,No
15,CAF,482,Central African Republic,Africa,1,0,0,1989,3956121,4th Wave,Coup,5,,,,,52.610001,.97296768,53.02,.97296768,52.8635177612305,.97296768,-1.458288995843185,.8295,1.1375625,74,56.200001,52.73,41,-4.9658732,46.057236,6.7702403,15.355893,Yes,No,.048519,Majoritarian,Presidential,Yes
16,CHL,155,Chile,Latin America,0,0,1,1989,3956121,3rd Wave,No Coup,8,66.389999,.52563018,66.25,.52563018,66.760002,.52563018,70.900002,.52563018,70.9653625488281,.52563018,1.28610340545052,.1861,-1.4145455,33,46.599998,74.349998,87,-.10762698,57.530769,10.137924,16.745592,Yes,No,.33333299,Proportional,Presidential,No
17,COM,581,Comoros ,Africa,1,0,0,1990,3960100,4th Wave,Coup,7,47.16,.47463769,45.060001,.35555559,45.709999,.78247547,45.790001,.78247547,45.3966827392578,.78247547,-.9992928285347787,0,.8259899,73,45.299999,72.089996,29,-3.0025756,40.136219,7.9472775,13.631974,Yes,No,.130046,Majoritarian,Presidential,No
18,COG,484,Republic of the Congo,Africa,1,0,0,2002,4008004,4th Wave,No Coup,3,31.26,.53322369,27.48,.53322369,28.030001,.53322369,28.75,.53322369,29.289493560791,.53322369,-1.219633259271321,.8747,1.1249511,81,48.900002,63.959999,66,3.8033087,154.91112,8.6397781,15.472664,Yes,No,.011111,Majoritarian,Presidential,Yes
19,HRV,344,Croatia,Europe,0,0,0,1990,3960100,4th Wave,No Coup,10,65.019997,.57927042,66.580002,.58874232,64.709999,.60727489,64.699997,.60727489,64.7675323486328,.60727489,.0866747719088667,.369,-.050388005,52,31.1,70.970001,56,2.3467603,101.08825,10.177154,15.223908,No,No,.50906003,Proportional,Presidential,No
20,CYP,352,Cyprus,Europe,0,0,0,1976,3904576,3rd Wave,No Coup,9,73.480003,.72525251,70.080002,.72525251,70.019997,.79253238,69.440002,.79253238,69.452018737793,.79253238,1.024903626818406,.0939,-1.0561211,41,34,78.260002,67,3.4509385,130.28795,10.495584,13.988846,Yes,Yes,.38888901,Proportional,Presidential,No
21,CZE,316,Czech Republic,Europe,0,0,0,1990,3960100,3rd Wave,No Coup,9,75.860001,.80412668,75.849998,.80412668,75.849998,.80412668,75.480003,.80412668,75.5013885498047,.80412668,.9493019863178855,.3222,-.40808791,41,25.9,75.110001,74,.43874204,151.45113,10.596596,16.178785,No,No,.55639499,Proportional,Presidential,No
22,DOM,42,Dominican Republic,Latin America,0,0,1,1986,3944196,3rd Wave,No Coup,8,,.50531441,,.50531441,44.240002,.62682629,43.639999,.62682629,44.3698997497559,.62682629,-.5992265437778673,.4294,.72483635,70,45.700001,72.099998,79,-1.0549725,55.045338,9.7868862,16.178925,Yes,No,.21111099,Proportional,Presidential,No
